lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
1700003M07Rik	Pou5f1	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
2310010G23Rik	Mir361	RNA-RNA	Binding	Mus musculus	MDRL can directly bind to miR-361 and act as an endogenous sponge which downregulates miR-361 expression levels and promotes the processing of pri-miR-484.	NULL	NULL	pull-down assay	25057983
2700046G09Rik	Mir23a	RNA-RNA	Binding	Mus musculus	miR-23a is facilitating AGO2 association with PTEN or 2700046G09Rik.	mouse brain	NULL	qPCR, Western blot, RIP.	24101522
Dubr	Myod1	DNA-TF	Binding	Mus musculus	Dum is also transcriptionally induced by MyoD binding upon myoblast differentiation.	C2C12 mouse myoblast cells	Dum is associated with active myogenesis in vitro and in vivo.	ChIP-PCR assay	25686699
5730457N03Rik	H3f3a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
5730457N03Rik	Kmt2a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Mirt1	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	NULL	NULL	Microarray and In situ hybridization	24917243
Mirt1	Nppb	RNA-Protein	Regulation	Mus musculus	Nppb, the gene which encodes BNP, was correlated with MIRT1 and showed a 4-fold increase in expression after MI	NULL	NULL	Microarray and In situ hybridization	24917243
7SLRNA:CR32864	Srp9	RNA-Protein	Binding	Drosophila melanogaster	Srp9 binds 7SLRNA.	NULL	NULL	in vitro	6209132
7SLRNA:CR32864	Srp68	RNA-Protein	Binding	Drosophila melanogaster	Srp68 binds 7SLRNA.	NULL	NULL	in vitro	6209132
91H	Igf2	RNA-DNA	Regulation	Mus musculus	91H RNA up-regulate Igf2 expression	Myoblasts	Igf2 gene activation	In vitro	22662250
91H	IGF2	RNA-DNA	Regulation	Homo sapiens	91H silencing by RNA interference reduces IGF2 expression on the paternal allele.	NULL	Igf1 gene activation	In vitro	18794369
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	VL30-1 RNA binds and releases PSF from Rab23.	NULL	NULL	RIP	19805375
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	Binding of mouse VL30 (A130040M12Rik) retrotransposon RNA to PSF protein induces genes repressed by PSF: effects on steroidogenesis and oncogenesis.	NULL	NULL	In vitro	14704271
ADAMTS9-AS2	DNMT1	RNA-Protein	Regulation	Homo sapiens	DNMT1 knockdown led to remarkable enhancement of ADAMTS9-AS2 expression.	glioma	ADAMTS9-AS2 inhibits migration of glioma cells	qPCR, RNAi	24833086
Adapt15	Tardbp	RNA-Protein	Binding	Cricetulus griseus	gadd7 binds directly to TDP-43 and promote the degradation of Cdk6 mRNA	NULL	regulate the cellcycle G1/S checkpoint in response to DNA damage	RIP	23103768
Airn	Ehmt2	RNA-Protein	Binding	Mus musculus	Airrecruitment of G9a to the Slc22a3 promoter is required for gene silencing.	heart	NULL	RNA IP	18988810
Airn	Slc22a3	RNA-DNA	Binding	Mus musculus	Air accumulates at the Slc22a3 promoter.	heart	NULL	RNA-DNA FISH	18988810
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	Igf2r silencing by Airn during late differentiation is accompanied by low-level H3K9me3, but not DNA methylation, on the Igf2r promoter.	mouse embryonic stem cell (ESC)	Airn acts alone to silence Igf2r and that the somatic methylation imprint,	Bisulfite sequencing, qRT-PCR and ChIP 	23444351
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	silencing only required Airn transcriptional overlap of the Igf2r promoter, which interferes with RNA polymerase II recruitment in the absence of repressive chromatin. 	mouse embryonic stem cell (ESC)	NULL	RT-qPCR,FISH and ChIP 	23239737
Airn	Igf2r	DNA-DNA	Regulation	Mus musculus	These data indicate that high levels of Airn driven from the exogenous PGK promoter can silence Igf2r in cis, 	ES cell lines	NULL	qPCR, Western blot	19008856
AK081227	Mecp2	DNA-TF	Binding	Mus musculus	Mecp2 binding to the 5'end genomic loci of the lncRNAs AK081227 and AK087060	frontal cortex, hypothalamus, thalamus and cerebellum	NULL	ChIP	23611944
AK087060	Mecp2	DNA-TF	Binding	Mus musculus	Mecp2 binding to the 5'end genomic loci of the lncRNAs AK081227 and AK087060	frontal cortex, hypothalamus, thalamus and cerebellum	NULL	ChIP	23611944
AK294004	CCND1	RNA-Protein	Regulation	Homo sapiens	lncRNA AK294004 directly targets CCND1 expression by its exon 1 part, but not the exon 2 part, thus leading to the decreased CCND1 expression through some inhibition mechanism.	nasopharyngeal carcinoma tissue, cell lines (CNE-2, HEK293 cells  )	NULL	microarray, qPCR, RNAi, Luciferase reporter assay,	24379026
CDKN2B-AS1	CARD8	RNA-RNA	Regulation	Homo sapiens	ANRIL can regulate the expression level of CARD8 mRNA and a functional SNP in CARD8, rs2043211 located in exon 5 of CARD8 was significantly associated with ischemic stroke	human umbilical vein endothelial cells and HepG2 cells	NULL	qRT-PCR, RNAi	24385277
AOC4P	HSP90AB2P	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
AOC4P	PKM	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
AOC4P	VIM	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
AOC4P	PCNA	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
AOC4P	EEF1A1	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
AOC4P	MDH2	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
