TMPO-AS1	TMPO	decreased Knockdown TMPO-AS1 of mRNA the and protein levels TMPO of cells in NSCLC 
FAM99A	HTR-8	induced overexpression FAM99A decrease a rate in the apoptotic cells of increased whereas knockdown FAM99A of rate the apoptotic cells of HTR-8 SVneo 
GAS5	YY1	decrease polymorphism rs55829688 T > C could level the expression GAS5 of impacting by ability the binding YY1 of the transcription factor Yin Yang-1 region to the GAS5 promoter 
AFAP1-AS1	vimentin	resulted regulation Down AFAP1-AS1 of increase in an E-cadherin in and decrease a vimentin in 
MALAT1	NSPc1	caused overexpression NSPc1 of decrease a expression in the MALAT1 of and MEG3 and expression increased SOX2OT of 
MEG3	NSPc1	caused overexpression NSPc1 of decrease a expression in the MALAT1 of and MEG3 and expression increased SOX2OT of 
GASL1	TGF-beta1	correlated GASL1 Blood and TGF-beta1 were negatively patients in aneurysm with intracranial 
OXCT1-AS1	JAK1	inhibited OXCT1-AS1 miR-455-5p decrease to binding its region to the JAK1 3 - untranslated 
MALAT1	FISH	found We association no results between the FISH and expression MALAT1 patients in 
lncKBTBD10	KBTBD10	elucidated study In short our induce that lncKBTBD10 could decrease a protein of KBTBD10 and further affect to myogenesis bovine skeletal muscle 
MALAT1	CDK2	induced addition In knockdown MALAT1 increase an mRNA in both the and protein levels P21 of and p-ERK1 of P53 phosphorylated ERK1 2 2 and levels phosphorylated c-Jun N-terminal protein kinase p-JNK protein as well as causing decrease a D1 in dependent cyclin kinase 2 CDK2 cyclin and levels p-P38 MAPK protein 
MALAT1	MAPK	induced addition In knockdown MALAT1 increase an mRNA in both the and protein levels P21 of and p-ERK1 of P53 phosphorylated ERK1 2 2 and levels phosphorylated c-Jun N-terminal protein kinase p-JNK protein as well as causing decrease a D1 in dependent cyclin kinase 2 CDK2 cyclin and levels p-P38 MAPK protein 
H19	IGF2	associated repression biallelic Surprisingly H19 was not levels with equal expression of IGF2 chromosomes from both parental 
Neat1	MeCP2	repressed Neat1 is protein by methyl CpG binding 2 MeCP2 interaction by RNA-protein 
NKX2-1-AS1	NKX2-1	regulate NKX2-1-AS1 does not expression NKX2-1 or genes nearby 
MYU	VPS9D1	regulate MYU lncRNA did not expression the VPS9D1 of mRNA either at the or level protein detected as using assays qRT-PCR and western blotting 
ANRIL	CRP	level Furthermore associated while expression lncRNA ANRIL was negatively hs with - CRP 
lncRNA-ATB	TGF-b1	showed used lncRNA-ATB Serum can be predict to accurately promoted PTC and overexpression its prognosis lncRNA-ATB migration tumor cell and overexpression invasion lncRNA-ATB increased effects no significant expression on TGF-beta1 and treatment TGF-beta1 level the expression CONCLUSIONS of lncRNA-ATB promotes Upregulation lncRNA-ATB of TGF-b1 by migration and invasion cells of PTC 
cyrano	CDK4	led Overexpression cyrano of wild type CDK4 to strong and expression CDK6 ; change however proteins these two did not upregulated when cyrano mutated was 
cyrano	CDK6	led Overexpression cyrano of wild type CDK4 to strong and expression CDK6 ; change however proteins these two did not upregulated when cyrano mutated was 
AFAP1-AS1	N-cadherin	suppressed decrease The expression in AFAP1-AS1 significantly level the expression protein of N-cadherin cells in GC and increased that E-cadherin of 
ANRIL	PRC2	interact ANRIL cells in UC may not PRC2 with central which is initializing for repression gene 
MALAT1	CMPK	resulted Inhibition MALAT1 of increase in an expression of miR-143-3p leading decrease to a expression of CMPK protein 
KCNQ1OT1	SMAD4	reported Additionally study the present that increase and decrease expression of KCNQ1OT1 regulated SMAD4 
MALAT1	NRF1	downmodulated antagonism Of note MALAT1 of activators the two major transcriptional genes of proteasome subunit NRF1 namely and NRF2 
MALAT1	NRF2	downmodulated antagonism Of note MALAT1 of activators the two major transcriptional genes of proteasome subunit NRF1 namely and NRF2 
PlncRNA-1	CBR3	was There association no PlncRNA-1 between lncRNA and expression CBR3 tissues in osteosarcoma 
cyrano	CEBPA	cyrano assays luciferase contributed over-expression knockdown or miR-367-3p decrease to a protein in CEBPA CCAAT enhancer binding protein alpha 
PCA1	EMT	suppressed Knockdown PCA1 of cells in U2OS invasion cell proliferation cell and migration and EMT 
GAS5	Notch1	functioned GAS5 ceRNA as a competing endogenous RNA miR-137 for regulate to de-repression the Notch1 of its endogenous target and decrease survival neuron inactivation through pathway of the Notch1 signaling 
FOXF1-AS1	FOXF1	have FOXF1 did not effect the same FOXF1-AS1 on 
UPH	HAND2	regulated HAND2 was not UPH by EEC in 
miR-106a-5p	PTEN	increased NORAD down-regulated decreased expression the miR-106a-5p of miR-106a-5p abundances the protein of PTEN 
miR-199a	FGF1	block over-expression Map2k4 did not inhibition the expression of FGF1 miR-199a by 
LincRNA-p21	TP53	down-regulated LincRNA-p21 was tissue in tumor but observed association no was status with TP53 mutational 
PANDA	p53	associated Depletion PANDA of was levels with decreased protein of p53 not but mRNA p53 
TUSC7	EphA4	decrease TUSC7 could expression the EphA4 of Eph tyrosine kinase receptor A4 
HOTAIR	ROS	led decrease the expression of HOTAIR defects to ROS related function in sperm 
M41	EMT	expressed M41 The abundant most AER lncRNA is carcinoma in ERalpha + breast but lesions not in pre-neoplastic and correlates inversely markers with EMT 
miR-186	XIAP	binded miR-186 XIAP to and region PAK7 3 UTR and decrease expression the them of 
HOTTIP	HOXA13	regulate HOTTIP does not HOXA13 
BANCR	MAPK	found BANCR was regulate to proliferation LC and migration MAPK via not ERK but MAPK p38 and inactivations JNK 
miR-675	INSR	inhibited miR-675 only not expression the IGF1R of manner in a similar human in and murine cells but observed we also effect its negative expression on the INSR of the 
NEAT1	SR	shown NEAT1 has not been bind to proteins SR 
P21	NFKB1	alter levels Decreased P21 of did not transcripts NFKB1 or RELA 
P21	RELA	alter levels Decreased P21 of did not transcripts NFKB1 or RELA 
H19	AFB1	clear relationship any possible AFB1 between and H19 is not 
SAF	sFas	correlate Levels SAF of inversely production with sFas of 
MEG3	p21	stimulate MEG3 does not expression p21 CIP1 
Xist	Oct4	correlated levels Xist and Oct4 expression are not stage at the 8-cell 
XIST	BRCA1	have differences complex epigenetic subpopulations between tumor cell can effects striking accumulation on XIST transcription and localization but correlate this does not strictly BRCA1 with 
cyrano	NLRP6	bound terms In cyrano of mechanism directly EZH2 to and obstructed expression NLRP6 speeding up progression GC 
LINC00052	STAT3	repress LINC00052 could metastasis and invasion cell of cervical cancer suppressing via STAT3 
H19	IGF-2	observed Loss imprinting of H19 of and IGF-2 was samples in carcinoma of human bladder 
H19	Igf-2	used We transcription-PCR reverse analyze to expression the allele-specific IGF2R of Igf-2 and H19 testes in the and ovaries mice of derived interspecies from an cross musculus between Mus and spretus Mus 
H19	IGF2R	used We transcription-PCR reverse analyze to expression the allele-specific IGF2R of Igf-2 and H19 testes in the and ovaries mice of derived interspecies from an cross musculus between Mus and spretus Mus 
H19	Igf2	arise patterns allelic methylation Igf2 in and H19 early embryogenesis in and change development progressively during 
H19	Igf2	raises This possibility the involved that imprinting H19 of is maintenance only in the and initiation not in the expression of monoallelic Igf2 of 
H19	IGF2	regulated H19 In cervical cancer and expressions IGF2 could be independently 
H19	IGF2	expressed expressed IGF2 is allele only from the paternal and H19 is allele only from the maternal 
H19	Igf2	alleles expression the H19 of and Igf2 genes is not always from their respective maternal and paternal 
H19	p95	association The H19 of and p95 expression gene warrants in drug resistance study further 
H19	SNRPN	localized Using hybridization fluorescence in situ we homeologues the marsupial IGF2 of and H19 part to the distal 2p of tammar wallaby chromosome and homeologues the marsupial SNRPN of and ZNF127 middle to the 1q of chromosome 
H19	KIP2	reduced WTs Among cases without LOH most inactivation with H19 also have expression KIP2 and cases most expression with persistent H19 have levels high mRNA of KIP2 
