TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decrease the mRNA and protein level of TMPO in NSCLC cell 	
FAM99A	HTR-8	FAM99A overexpression induce a decrease in the apoptotic rate of cell whereas knockdown of FAM99A increase the apoptotic rate of HTR-8 SVneo cell 	
GAS5	YY1	rs55829688 T C polymorphism could decrease the expression level of GAS5 by impact the bind ability of the transcription factor Yin Yang-1 YY1 to the GAS5 promoter region 	
AFAP1-AS1	vimentin	Down regulation of AFAP1-AS1 result in an increase in E-cadherin and a decrease in vimentin 	
MALAT1	NSPc1	overexpression of NSPc1 cause a decrease in the expression of MALAT1 and MEG3 and increase expression of SOX2OT 	
MEG3	NSPc1	overexpression of NSPc1 cause a decrease in the expression of MALAT1 and MEG3 and increase expression of SOX2OT 	
GASL1	TGF-beta1	Blood GASL1 and TGF-beta1 be negatively correlate in patient with intracranial aneurysm 	
OXCT1-AS1	JAK1	OXCT1-AS1 inhibit miR-455-5p to decrease it binding to the JAK1 3 -untranslated region 	
MALAT1	FISH	We find no association between the FISH result and MALAT1 expression in patient 	
lncKBTBD10	KBTBD10	In short our study elucidate that lncKBTBD10 could induce a decrease of KBTBD10 protein and further to affect bovine skeletal muscle myogenesis 	
MALAT1	CDK2	In addition MALAT1 knockdown induce an increase in both the mRNA and protein level of P21 and of P53 phosphorylated ERK1 2 p-ERK1 2 and phosphorylated c-Jun N-terminal protein kinase p-JNK protein level as well a cause a decrease in cyclin dependent kinase 2 CDK2 cyclin D1 and p-P38 MAPK protein level 	
MALAT1	MAPK	In addition MALAT1 knockdown induce an increase in both the mRNA and protein level of P21 and of P53 phosphorylated ERK1 2 p-ERK1 2 and phosphorylated c-Jun N-terminal protein kinase p-JNK protein level as well a cause a decrease in cyclin dependent kinase 2 CDK2 cyclin D1 and p-P38 MAPK protein level 	
H19	IGF2	Surprisingly biallelic H19 repression be not associate with equal level of IGF2 expression from both parental chromosome 	
Neat1	MeCP2	Neat1 be repress by methyl CpG binding protein 2 MeCP2 by RNA-protein interaction 	
NKX2-1-AS1	NKX2-1	NKX2-1-AS1 do not regulate NKX2-1 expression or nearby gene 	
MYU	VPS9D1	lncRNA MYU do not regulate the expression of VPS9D1 either at the mRNA or protein level a detected use qRT-PCR and western blotting assay 	
ANRIL	CRP	Furthermore while lncRNA ANRIL expression be negatively associate with hs- CRP level 	
lncRNA-ATB	TGF-b1	Serum lncRNA-ATB can be use to accurately predict PTC and it prognosis lncRNA-ATB overexpression promote tumor cell migration and invasion lncRNA-ATB overexpression show no significant effect on TGF-beta1 expression and TGF-beta1 treatment increase the expression level of lncRNA-ATB CONCLUSIONS Upregulation of lncRNA-ATB by TGF-b1 promotes migration and invasion of PTC cell 	
cyrano	CDK4	Overexpression of wild type cyrano lead to strong CDK4 and CDK6 expression however these two protein do not change when mutated cyrano be upregulated 	
cyrano	CDK6	Overexpression of wild type cyrano lead to strong CDK4 and CDK6 expression however these two protein do not change when mutated cyrano be upregulated 	
AFAP1-AS1	N-cadherin	The decrease in AFAP1-AS1 expression significantly suppress the expression level of N-cadherin protein in GC cell and increase that of E-cadherin 	
ANRIL	PRC2	ANRIL in UC cell may not interact with PRC2 which be central for initialize gene repression 	
MALAT1	CMPK	Inhibition of MALAT1 result in an increase of miR-143-3p expression lead to a decrease of CMPK protein expression 	
KCNQ1OT1	SMAD4	Additionally the present study report that increase and decrease of KCNQ1OT1 regulate SMAD4 expression 	
MALAT1	NRF1	Of note antagonism of MALAT1 downmodulated the two major transcriptional activator of proteasome subunit gene namely NRF1 and NRF2 	
MALAT1	NRF2	Of note antagonism of MALAT1 downmodulated the two major transcriptional activator of proteasome subunit gene namely NRF1 and NRF2 	
PlncRNA-1	CBR3	There be no association between lncRNA PlncRNA-1 and CBR3 expression in osteosarcoma tissue 	
cyrano	CEBPA	luciferase assay cyrano knockdown or miR-367-3p over-expression contribute to a decrease in CEBPA CCAAT enhancer bind protein alpha protein 	
PCA1	EMT	Knockdown of PCA1 in U2OS cell suppress cell proliferation cell invasion and migration and EMT 	
GAS5	Notch1	GAS5 function a a compete endogenous RNA ceRNA for miR-137 to regulate the de-repression of it endogenous target Notch1 and decrease neuron survival through inactivation of the Notch1 signal pathway 	
FOXF1-AS1	FOXF1	FOXF1 do not have the same effect on FOXF1-AS1 	
UPH	HAND2	HAND2 be not regulate by UPH in EEC 	
miR-106a-5p	PTEN	down-regulated NORAD increase the expression of miR-106a-5p miR-106a-5p decrease the abundance of PTEN protein 	
miR-199a	FGF1	Map2k4 over-expression do not block the inhibition of FGF1 expression by miR-199a 	
LincRNA-p21	TP53	LincRNA-p21 be down-regulated in tumor tissue but no association be observe with TP53 mutational status 	
PANDA	p53	Depletion of PANDA be associate with decreased level of p53 protein but not p53 mRNA 	
TUSC7	EphA4	TUSC7 could decrease the expression of Eph tyrosine kinase receptor A4 EphA4 	
HOTAIR	ROS	the decrease of HOTAIR expression lead to ROS related defect in sperm function 	
M41	EMT	The most abundant AER lncRNA M41 be express in ERalpha+ breast carcinoma but not in pre-neoplastic lesion and correlate inversely with EMT marker 	
miR-186	XIAP	miR-186 bind to XIAP and PAK7 3 UTR region and decrease the expression of them 	
HOTTIP	HOXA13	HOTTIP do not regulate HOXA13 	
BANCR	MAPK	BANCR be find to regulate LC proliferation and migration via not ERK MAPK but p38 MAPK and JNK inactivation 	
miR-675	INSR	miR-675 not only inhibit the expression of IGF1R in a similar manner in human and murine cell but we also observe it negative effect on the expression of the INSR 	
NEAT1	SR	NEAT1 have not be show to bind SR protein 	
P21	NFKB1	Decreased level of P21 do not alter NFKB1 or RELA transcript 	
P21	RELA	Decreased level of P21 do not alter NFKB1 or RELA transcript 	
