TMPO-AS1	TMPO	decrease Knockdown TMPO-AS1 of level the mRNA and protein TMPO of cell in NSCLC 	
FAM99A	HTR-8	induce overexpression FAM99A decrease a rate in the apoptotic cell of increase whereas knockdown FAM99A of rate the apoptotic cell of HTR-8 SVneo 	
GAS5	YY1	decrease polymorphism rs55829688 T C could level the expression GAS5 of impact by ability the bind YY1 of the transcription factor Yin Yang-1 region to the GAS5 promoter 	
AFAP1-AS1	vimentin	regulation Down result of AFAP1-AS1 increase in an E-cadherin in and decrease a vimentin in 	
MALAT1	NSPc1	cause overexpression NSPc1 of decrease a expression in the MALAT1 of and MEG3 and expression increase SOX2OT of 	
MEG3	NSPc1	cause overexpression NSPc1 of decrease a expression in the MALAT1 of and MEG3 and expression increase SOX2OT of 	
GASL1	TGF-beta1	correlate GASL1 Blood and TGF-beta1 be negatively patient in aneurysm with intracranial 	
OXCT1-AS1	JAK1	inhibit OXCT1-AS1 miR-455-5p decrease to it binding region to the JAK1 3 - untranslated 	
MALAT1	FISH	find We association no result between the FISH and expression MALAT1 patient in 	
lncKBTBD10	KBTBD10	elucidate study In short our induce that lncKBTBD10 could decrease a protein of KBTBD10 and further affect to myogenesis bovine skeletal muscle 	
MALAT1	CDK2	induce addition In knockdown MALAT1 increase an mRNA in both the and level protein P21 of and p-ERK1 of P53 phosphorylated ERK1 2 2 and cause level phosphorylated c-Jun N-terminal protein kinase p-JNK protein as well a decrease a D1 in dependent cyclin kinase 2 CDK2 cyclin and level p-P38 MAPK protein 	
MALAT1	MAPK	induce addition In knockdown MALAT1 increase an mRNA in both the and level protein P21 of and p-ERK1 of P53 phosphorylated ERK1 2 2 and cause level phosphorylated c-Jun N-terminal protein kinase p-JNK protein as well a decrease a D1 in dependent cyclin kinase 2 CDK2 cyclin and level p-P38 MAPK protein 	
H19	IGF2	associate repression biallelic Surprisingly H19 be not level with equal expression of IGF2 chromosome from both parental 	
Neat1	MeCP2	repress Neat1 be protein by methyl CpG binding 2 MeCP2 interaction by RNA-protein 	
NKX2-1-AS1	NKX2-1	regulate NKX2-1-AS1 do not expression NKX2-1 or gene nearby 	
MYU	VPS9D1	regulate MYU lncRNA do not expression the VPS9D1 of mRNA either at the or level protein qRT-PCR a detected use and assay western blotting 	
ANRIL	CRP	associate Furthermore while expression lncRNA ANRIL be negatively level with hs - CRP 	
lncRNA-ATB	TGF-b1	show use lncRNA-ATB Serum can be predict to accurately overexpression PTC and it prognosis lncRNA-ATB promote migration tumor cell and overexpression invasion lncRNA-ATB increase effect no significant expression on TGF-beta1 and treatment TGF-beta1 level the expression CONCLUSIONS of lncRNA-ATB promotes Upregulation lncRNA-ATB of TGF-b1 by migration and invasion cell of PTC 	
cyrano	CDK4	change Overexpression lead of wild type cyrano CDK4 to strong and expression CDK6 however protein these two do not upregulated when cyrano mutated be 	
cyrano	CDK6	change Overexpression lead of wild type cyrano CDK4 to strong and expression CDK6 however protein these two do not upregulated when cyrano mutated be 	
AFAP1-AS1	N-cadherin	suppress decrease The expression in AFAP1-AS1 significantly level the expression protein of N-cadherin cell in GC and increase that E-cadherin of 	
ANRIL	PRC2	interact ANRIL cell in UC may not PRC2 with central which be repression for initialize gene 	
MALAT1	CMPK	lead Inhibition result of MALAT1 increase in an expression of miR-143-3p decrease to a expression of CMPK protein 	
KCNQ1OT1	SMAD4	report Additionally the present study regulate that increase and decrease KCNQ1OT1 of expression SMAD4 	
MALAT1	NRF1	downmodulated antagonism Of note MALAT1 of activator the two major transcriptional gene of proteasome subunit NRF1 namely and NRF2 	
MALAT1	NRF2	downmodulated antagonism Of note MALAT1 of activator the two major transcriptional gene of proteasome subunit NRF1 namely and NRF2 	
PlncRNA-1	CBR3	be There association no PlncRNA-1 between lncRNA and expression CBR3 tissue in osteosarcoma 	
cyrano	CEBPA	contribute knockdown luciferase assay cyrano or over-expression miR-367-3p decrease to a enhancer in CEBPA CCAAT bind protein protein alpha 	
PCA1	EMT	suppress Knockdown PCA1 of cell in U2OS invasion cell proliferation cell and migration and EMT 	
GAS5	Notch1	function GAS5 ceRNA a a compete endogenous RNA miR-137 for regulate to de-repression the it of Notch1 endogenous target and decrease survival neuron inactivation through pathway of the Notch1 signal 	
FOXF1-AS1	FOXF1	have FOXF1 do not effect the same FOXF1-AS1 on 	
UPH	HAND2	regulate HAND2 be not UPH by EEC in 	
miR-106a-5p	PTEN	increase NORAD down-regulated decrease expression the miR-106a-5p of miR-106a-5p abundance the protein of PTEN 	
miR-199a	FGF1	block over-expression Map2k4 do not inhibition the expression of FGF1 miR-199a by 	
LincRNA-p21	TP53	down-regulated LincRNA-p21 be tissue in tumor but observe association no be status with TP53 mutational 	
PANDA	p53	associate Depletion PANDA of be level with decreased protein of p53 not but p53 mRNA 	
TUSC7	EphA4	decrease TUSC7 could expression the EphA4 of Eph tyrosine kinase receptor A4 	
HOTAIR	ROS	lead decrease the expression of HOTAIR defect to ROS related function in sperm 	
M41	EMT	express M41 The abundant most AER lncRNA be carcinoma in ERalpha + breast but lesion not in pre-neoplastic and correlate inversely marker with EMT 	
miR-186	XIAP	bind miR-186 XIAP to and region PAK7 3 UTR and decrease expression the them of 	
HOTTIP	HOXA13	regulate HOTTIP do not HOXA13 	
