TMPO-AS1	TMPO	VBN NNP NN IN NN DT CC NN NNS NN IN NNS IN NNP 
FAM99A	HTR-8	VBN NN NN VB DT NN IN DT JJ NNS IN VBN IN JJ NN IN NN DT JJ NNS IN NN NN 
GAS5	YY1	NN NN NN NN JJR NN MD VB DT NN NN IN VBG IN NN DT NN NN IN DT NN NN NN NN NN TO DT NN NN 
AFAP1-AS1	vimentin	VBD NN NN NN IN NN IN DT NN IN CC VB DT NN IN 
MALAT1	NSPc1	VBN NN NN IN NN DT NN IN DT NN IN CC NN CC NN VBD NN IN 
MEG3	NSPc1	VBN NN NN IN NN DT NN IN DT NN IN CC NN CC NN VBD NN IN 
GASL1	TGF-beta1	VBD NN NN CC NN VBD RB NNS IN NN IN JJ 
OXCT1-AS1	JAK1	VBD NN NN NN TO VBG PRP$ NN TO DT NN CD : JJ 
MALAT1	FISH	VBN PRP NN DT NNS IN DT NN CC NN NN NNS IN 
lncKBTBD10	KBTBD10	VBN NN IN JJ PRP$ VBP IN NN MD VB DT NN IN NN CC JJ VB TO NN JJ JJ NN 
MALAT1	CDK2	VBN NN IN JJ NN VBP DT NN IN CC DT CC NN NNS NN IN CC NN IN NN VBN NN CD CD CC NNS VBN NN JJ NN NN NN NN RB RB IN VBG VB DT NN IN JJ NN NN CD NN NN CC NNS NN NN NN 
MALAT1	MAPK	VBN NN IN JJ NN VBP DT NN IN CC DT CC NN NNS NN IN CC NN IN NN VBN NN CD CD CC NNS VBN NN JJ NN NN NN NN RB RB IN VBG VB DT NN IN JJ NN NN CD NN NN CC NNS NN NN NN 
H19	IGF2	VBN NN JJ RB NN VBD RB NNS IN JJ NN IN NN NNS IN DT JJ 
Neat1	MeCP2	VBN NN VBZ NN IN NN NN NN CD NN NN IN JJ 
NKX2-1-AS1	NKX2-1	VB NN VBZ RB NN NN CC NNS RB 
MYU	VPS9D1	VB NNP NN VBD RB NN DT NN IN NN CC IN DT CC NN NN VBD IN VBG NNS NN CC NN NN 
