TMPO-AS1	TMPO	VB NNP NN IN NN DT NN CC NN NN IN NN IN NNP 
FAM99A	HTR-8	VB NN NN VB DT NN IN DT JJ NN IN NN IN JJ NN IN NN DT JJ NN IN NN NN 
GAS5	YY1	NN NN NN NN NN MD VB DT NN NN IN NN IN NN DT NN NN IN DT NN NN NN NN NN TO DT NN NN 
AFAP1-AS1	vimentin	NN NN NN IN NN NN IN DT NN IN CC VB DT NN IN 
MALAT1	NSPc1	NN NN NN IN NN DT NN IN DT NN IN CC NN CC NN VBP NN IN 
MEG3	NSPc1	NN NN NN IN NN DT NN IN DT NN IN CC NN CC NN VBP NN IN 
GASL1	TGF-beta1	VB NN NN CC NN VB RB NN IN NN IN JJ 
OXCT1-AS1	JAK1	VB NN NN NN TO PRP VBG NN TO DT NN CD : JJ 
MALAT1	FISH	VB PRP NN DT NN IN DT NN CC NN NN NN IN 
lncKBTBD10	KBTBD10	VB NN IN JJ PRP$ VBP IN NN MD VB DT NN IN NN CC JJ VB TO NN JJ JJ NN 
MALAT1	CDK2	VB NN IN JJ NN VBP DT NN IN CC DT CC NN NN NN IN CC NN IN NN VBN NN CD CD CC VB NN VBN NN JJ NN NN NN NN RB RB DT NN DT NN IN JJ NN NN CD NN NN CC NN NN NN NN 
MALAT1	MAPK	VB NN IN JJ NN VBP DT NN IN CC DT CC NN NN NN IN CC NN IN NN VBN NN CD CD CC VB NN VBN NN JJ NN NN NN NN RB RB DT NN DT NN IN JJ NN NN CD NN NN CC NN NN NN NN 
H19	IGF2	JJ NN JJ RB NN VB RB NN IN JJ NN IN NN NN IN DT JJ 
Neat1	MeCP2	VB NN VB NN IN NN NN NN CD NN NN IN JJ 
NKX2-1-AS1	NKX2-1	VB NN VBP RB NN NN CC NN RB 
MYU	VPS9D1	VB NNP NN VBP RB NN DT NN IN NN CC IN DT CC NN NN NN DT VBN NN CC NN NN NN 
ANRIL	CRP	JJ RB IN NN NN NN VB RB NN IN NNS : NN 
lncRNA-ATB	TGF-b1	NN NN NN NN MD VB VB TO RB NN NN CC PRP NN NN VBP NN NN NN CC NN NN JJ NN NN DT JJ NN IN NN CC NN NN NN DT NN NNS IN NN VBZ NN NN IN NN IN NN CC NN NN IN NN 
cyrano	CDK4	NN NN NN IN JJ NN NN NN TO JJ CC NN NN RB NN DT CD VBP RB VBN WRB NN VBN VB 
cyrano	CDK6	NN NN NN IN JJ NN NN NN TO JJ CC NN NN RB NN DT CD VBP RB VBN WRB NN VBN VB 
AFAP1-AS1	N-cadherin	VB NN DT NN IN NN RB VBP DT NN NN IN NN NN IN NN CC NN WDT NN IN 
ANRIL	PRC2	NN NN NN IN NN MD RB NN IN JJ WDT VB NN IN NN NN 
MALAT1	CMPK	JJ NN NN IN NN NN IN DT NN IN JJ NN TO DT NN IN NN NN 
KCNQ1OT1	SMAD4	NN RB DT JJ NN VBP IN NN CC VB NN IN NN NN 
MALAT1	NRF1	VBN NN IN NN NN IN NN DT CD JJ JJ NN IN NN NN NN RB CC NN 
MALAT1	NRF2	VBN NN IN NN NN IN NN DT CD JJ JJ NN IN NN NN NN RB CC NN 
PlncRNA-1	CBR3	VB EX NN DT NN IN NN CC NN NN NN IN NN 
cyrano	CEBPA	VB NN NN NN NN CC NN NN NN TO DT NN IN NNP NN VBP NN NN NN 
PCA1	EMT	VB NNP NN IN NN IN NN NN NN NN NN CC NN CC NN 
GAS5	Notch1	NN NN NN DT DT VBP JJ NN NN IN VB TO VB DT PRP IN NN JJ NN CC VB NN NN NN IN NN IN DT NN NN 
FOXF1-AS1	FOXF1	VB NN VBP RB VB DT JJ NN IN 
UPH	HAND2	VB NN VB RB NN IN NN IN 
miR-106a-5p	PTEN	NN NN VBD NN NN DT NN IN NN NN DT NN IN NN 
miR-199a	FGF1	NN NN NN VBP RB NN DT NN IN NN NN IN 
LincRNA-p21	TP53	VBN NN VB NN IN NN CC VBP NN DT VB NN IN NN JJ 
PANDA	p53	JJ NN NNP IN VB JJ IN VBN NN IN NN RB CC NN NN 
TUSC7	EphA4	NN NN MD NN DT NN IN NN NN NN NN NN 
HOTAIR	ROS	JJ NN DT NN IN NN NN TO NN JJ NN IN NN 
M41	EMT	VB NN DT JJ RBS NNP NNP VB NN IN NN CC NN CC NN RB IN JJ CC VBP RB NN IN NN 
miR-186	XIAP	VB NN NN TO CC NN NN CD NN CC NN NN DT PRP IN 
HOTTIP	HOXA13	VB NNP VB RB NN 
BANCR	MAPK	VB NNP VB VB TO NN NN CC NN NN IN RB NN CC NN NN CC NN NN 
miR-675	INSR	VB NN RB RB NN DT NN IN NN IN DT JJ JJ IN CC JJ NN CC VBP PRP RB PRP NN JJ NN IN DT NN IN DT 
NEAT1	SR	NN NN VBP RB VB VBP TO NN NN 
P21	NFKB1	VB NN VBN NN IN VBP RB NN NN CC NN 
P21	RELA	VB NN VBN NN IN VBP RB NN NN CC NN 
H19	AFB1	JJ NN DT JJ NN IN CC NN VB RB 
SAF	sFas	NN NNS NN IN RB NN IN NN IN 
MEG3	p21	VB NN VBP RB NN NN NN 
Xist	Oct4	VB NN NN CC NN NN VB RB NN IN DT NN 
XIST	BRCA1	VB NN NN JJ NN IN NN NN MD VB JJ NN IN NN NN CC NN CC VBP DT VBP RB RB NN IN 
cyrano	NLRP6	NN IN NN IN NN NN RB NN TO CC VB NN NN NN IN NN NN 
LINC00052	STAT3	VB NN MD NN CC NN NN IN JJ NN VBP IN NN 
H19	IGF-2	VB NN VBG IN NN IN CC NN VB NN IN NN IN JJ NN 
H19	Igf-2	NN PRP NN NN VBP TO NN DT JJ NN IN NN CC NN NN IN DT CC JJ NN IN NN VBP NNS IN DT NN IN NN CC NN NN 
H19	IGF2R	NN PRP NN NN VBP TO NN DT JJ NN IN NN CC NN NN IN DT CC JJ NN IN NN VBP NNS IN DT NN IN NN CC NN NN 
H19	Igf2	VB NN JJ NN NN IN CC NN JJ NN IN CC VB NN RB IN 
H19	Igf2	VB DT NN DT VBP IN NN NN IN VB NN RB IN DT CC NN RB IN DT NN IN JJ NN IN 
H19	IGF2	VB NN IN JJ NN CC NN NN MD VB RB 
H19	IGF2	VB VB NN VB NN RB IN DT JJ CC NN VB NN RB IN DT JJ 
H19	Igf2	RB NN DT NN IN CC NN NN VB RB NN IN PRP$ JJ JJ CC JJ 
H19	p95	NN DT NN IN CC NN NN NN NN IN NN NN NN RB 
H19	SNRPN	VBG NN NN FW FW VB PRP NNS DT JJ NN IN CC NN NN TO DT JJ NN IN NN NN NN CC NNS DT JJ NN IN CC NN NN TO DT NN IN NN 
H19	KIP2	VB NNP IN NN IN NNP RBS NN IN NN RB VBP NN NN CC NN RBS NN IN JJ NN VBP NN JJ NN IN NN 
H19	hNAP2	JJ NN DT VB NN TO NN JJ NN NN CC NN TO DT JJ NN IN CC VB PRP VBZ NN PRP NN NN JJ JJ NN CD NN IN PRP NN NN IN NN CC NN CC VBP PRP NN JJ NN IN DT NN 
H19	L23MRP	VBP PRP RB NN JJ NN IN NN CD JJ NN IN 
H19	TNNT3	VB NN JJ NN IN CC NN NN IN JJ JJ JJ NN NN WDT NN DT MD NN DT 
H19	IGF2	VB NN IN NN RB NN DT NN IN NN IN NN NN VB RB NN IN DT NN IN NN 
H19	Igf2	JJ VBG DT NN IN DT CC JJ NN VB NN IN DT NN IN DT JJ NN 
