lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id	
5730457N03Rik	H3f3a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676	
5730457N03Rik	Kmt2a	RNA-Protein	Binding	Mus musculus	Evx1as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676	
Mirt1	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	nan	nan	Microarray and In situ hybridization	24917243	
Mirt1	Nppb	RNA-Protein	Regulation	Mus musculus	Nppb, the gene which encodes BNP, was correlated with MIRT1 and showed a 4-fold increase in expression after MI	nan	nan	Microarray and In situ hybridization	24917243	
7SLRNA:CR32864	Srp9	RNA-Protein	Binding	Drosophila melanogaster	Srp9 binds 7SLRNA.	nan	nan	in vitro	6209132	
7SLRNA:CR32864	Srp68	RNA-Protein	Binding	Drosophila melanogaster	Srp68 binds 7SLRNA.	nan	nan	in vitro	6209132	
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	VL30-1 RNA binds and releases PSF from Rab23.	nan	nan	RIP	19805375	
A130040M12Rik	Sfpq	RNA-Protein	Binding	Mus musculus	Binding of mouse VL30 (A130040M12Rik) retrotransposon RNA to PSF protein induces genes repressed by PSF: effects on steroidogenesis and oncogenesis.	nan	nan	In vitro	14704271	
ADAMTS9-AS2	DNMT1	RNA-Protein	Regulation	Homo sapiens	DNMT1 knockdown led to remarkable enhancement of ADAMTS9-AS2 expression.	glioma	ADAMTS9-AS2 inhibits migration of glioma cells	qPCR, RNAi	24833086	
Adapt15	Tardbp	RNA-Protein	Binding	Cricetulus griseus	gadd7 binds directly to TDP-43 and promote the degradation of Cdk6 mRNA	nan	regulate the cellcycle G1/S checkpoint in response to DNA damage	RIP	23103768	
Airn	Ehmt2	RNA-Protein	Binding	Mus musculus	Airrecruitment of G9a to the Slc22a3 promoter is required for gene silencing.	heart	nan	RNA IP	18988810	
AK294004	CCND1	RNA-Protein	Regulation	Homo sapiens	lncRNA AK294004 directly targets CCND1 expression by its exon 1 part, but not the exon 2 part, thus leading to the decreased CCND1 expression through some inhibition mechanism.	nasopharyngeal carcinoma tissue, cell lines (CNE-2, HEK293 cells  )	nan	microarray, qPCR, RNAi, Luciferase reporter assay,	24379026	
AOC4P	HSP90AB2P	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	PKM	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	VIM	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	PCNA	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	EEF1A1	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	MDH2	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
AOC4P	NCL	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837	
APOLO	TFL2	RNA-Protein	Binding	Arabidopsis thaliana	the dynamic PID-APOLO chromatin loop depends on the plant PRC1 component LHP1 through binding to APOLO RNA.	seedlings	nan	ChIP and RIP	25018019	
APTR	EZH2	RNA-Protein	Binding	Homo sapiens	in vitro transcribed biotinylated sense APTR associated in vitro with cellular EZH2 and SUZ12 and pulled them down on streptavidin beads.	brain and cancer cell lines	nan	RNAi, ChIP, RIP, RNA pulldown assays	24748121	
APTR	SUZ12	RNA-Protein	Binding	Homo sapiens	in vitro transcribed biotinylated sense APTR associated in vitro with cellular EZH2 and SUZ12 and pulled them down on streptavidin beads.	brain and cancer cell lines	nan	RNAi, ChIP, RIP, RNA pulldown assays	24748121	
BANCR	MAPK14	RNA-Protein	Regulation	Homo sapiens	When BANCR was up-regulated, p38 MAPK and JNK pathways were both inactivated. 	nan	overexpressed BANCR suppressed tumor growth of LC both in vitro and in vivo.	RIPA	25661343	
