TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decreased the mRNA and protein levels of TMPO in NSCLC cells
FAM99A	HTR-8	FAM99A overexpression induced a decrease in the apoptotic rate of cells, whereas knockdown of FAM99A increased the apoptotic rate of HTR-8/SVneo cells
GAS5	YY1	rs55829688 T > C polymorphism could decrease the expression level of GAS5 by impacting the binding ability of the transcription factor Yin Yang-1 (YY1) to the GAS5 promoter region
AFAP1-AS1	vimentin	Down regulation of AFAP1-AS1 resulted in an increase in E-cadherin and a decrease in vimentin
MALAT1	NSPc1	overexpression of NSPc1 caused a decrease in the expression of MALAT1 and MEG3 and increased expression of SOX2OT
MEG3	NSPc1	overexpression of NSPc1 caused a decrease in the expression of MALAT1 and MEG3 and increased expression of SOX2OT
GASL1	TGF-beta1	Blood GASL1 and TGF-beta1 were negatively correlated in patients with intracranial aneurysm
OXCT1-AS1	JAK1	OXCT1-AS1 inhibited miR-455-5p to decrease its binding to the JAK1 3'-untranslated region
MALAT1	FISH	We found no association between the FISH results and MALAT1 expression in patients
lncKBTBD10	KBTBD10	In short, our study elucidated that lncKBTBD10 could induce a decrease of KBTBD10 protein and further to affect bovine skeletal muscle myogenesis
MALAT1	CDK2	In addition, MALAT1 knockdown induced an increase in both the mRNA and protein levels of P21, and of P53, phosphorylated ERK1/2 (p-ERK1/2) and phosphorylated c-Jun N-terminal protein kinase (p-JNK) protein levels, as well as causing a decrease in cyclin dependent kinase 2 (CDK2), cyclin D1 and p-P38 MAPK protein levels
MALAT1	MAPK	In addition, MALAT1 knockdown induced an increase in both the mRNA and protein levels of P21, and of P53, phosphorylated ERK1/2 (p-ERK1/2) and phosphorylated c-Jun N-terminal protein kinase (p-JNK) protein levels, as well as causing a decrease in cyclin dependent kinase 2 (CDK2), cyclin D1 and p-P38 MAPK protein levels
H19	IGF2	Surprisingly, biallelic H19 repression was not associated with equal levels of IGF2 expression from both parental chromosomes
Neat1	MeCP2	Neat1 is repressed by methyl CpG binding protein 2 (MeCP2) by RNA-protein interaction
NKX2-1-AS1	NKX2-1	NKX2-1-AS1 does not regulate NKX2-1 expression, or nearby genes
MYU	VPS9D1	lncRNA MYU did not regulate the expression of VPS9D1 either at the mRNA or protein level as detected using qRT-PCR and western blotting assays
