hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	19q13.43	19q13.43	FLJ23569		"NCRNA00181|A1BGAS|A1BG-AS"	"non-protein coding RNA 181|A1BG antisense RNA (non-protein coding)|A1BG antisense RNA 1 (non-protein coding)"			2009-07-20	2010-11-25	2012-08-15	2013-06-27	503538	ENSG00000268895	OTTHUMG00000183508	uc002qse.3	BC040926	NR_015380																										A1BG-AS1	
HGNC:27057	A2M-AS1	A2M antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				"A2M antisense RNA 1 (non-protein coding)|A2M antisense RNA 1"			2012-06-23		2018-03-21	2018-03-21	144571	ENSG00000245105	OTTHUMG00000168289	uc009zgj.2		NR_026971																										A2M-AS1	
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				A2ML1 antisense RNA 1 (non-protein coding)			2011-05-05		2012-08-15	2014-11-19	100874108	ENSG00000256661	OTTHUMG00000168273	uc058kxy.1																												A2ML1-AS1	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				A2ML1 antisense RNA 2 (non-protein coding)			2011-05-05		2012-08-15	2014-11-19	106478979	ENSG00000256904	OTTHUMG00000168274	uc058kyb.1																												A2ML1-AS2	
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3q25.1	03q25.1							2014-04-07			2014-04-07	101928142	ENSG00000242908	OTTHUMG00000159877			NR_110202																										AADACL2-AS1	
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3		apoptosis-associated transcript in bladder cancer					2015-02-13			2015-02-13	284837	ENSG00000215458	OTTHUMG00000086882			NR_026961			25473900																							AATBC	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	non-coding RNA	RNA, long non-coding	Approved	20q11.21	20q11.21	INXS	"apoptotic BCL-X-associated long ncRNA|intronic BCL-XS-inducing lncRNA"					2014-03-13			2018-08-15	103021294	ENSG00000281376	OTTHUMG00000189574		KC505631	NR_131907																											
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17q24.2	17q24.2				ABCA9 antisense RNA 1 (non-protein coding)			2011-04-20		2012-08-15	2014-11-19	104355297	ENSG00000231749	OTTHUMG00000140370	uc060jgk.1		NR_126414																										ABCA9-AS1	
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3q27.1	03q27.1				ABCC5 antisense RNA 1 (non-protein coding)			2011-07-27		2012-08-15	2014-11-18	100873982	ENSG00000223882	OTTHUMG00000156870	uc031scp.1		NR_046570																										ABCC5-AS1	
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6p21.33	06p21.33							2017-08-03			2017-08-03	107986587					XR_001744078																											
